W1,W2,R,t,MaxVonMisesStress_MPa
0.3578125000,0.1287109375,0.0442187500,0.0187109375,43.3277560000
0.5578125000,0.1037109375,0.0642187500,0.0137109375,39.4137440000
0.4578125000,0.1162109375,0.0342187500,0.0112109375,65.6156240000
0.6578125000,0.1412109375,0.0542187500,0.0162109375,40.1352280000
0.3328125000,0.1380859375,0.0317187500,0.0143359375,73.2089280000
0.5328125000,0.1130859375,0.0517187500,0.0193359375,31.5293920000
0.4328125000,0.1005859375,0.0417187500,0.0168359375,37.8513000000
0.6328125000,0.1255859375,0.0617187500,0.0118359375,49.8024480000
0.3828125000,0.1193359375,0.0667187500,0.0155859375,41.1418080000
0.5828125000,0.1443359375,0.0467187500,0.0105859375,67.5154720000
0.4828125000,0.1318359375,0.0567187500,0.0130859375,50.7405400000
0.6828125000,0.1068359375,0.0367187500,0.0180859375,35.4193080000
0.3203125000,0.1365234375,0.0629687500,0.0102734375,81.4519200000
0.5203125000,0.1115234375,0.0429687500,0.0152734375,42.2602240000
0.4203125000,0.1240234375,0.0529687500,0.0177734375,38.5071800000
0.6203125000,0.1490234375,0.0329687500,0.0127734375,63.8600320000
0.3703125000,0.1052734375,0.0379687500,0.0190234375,37.0806280000
0.5703125000,0.1302734375,0.0579687500,0.0140234375,44.7483440000
0.4703125000,0.1427734375,0.0479687500,0.0115234375,65.5268960000
0.6703125000,0.1177734375,0.0679687500,0.0165234375,33.2330360000
0.3453125000,0.1146484375,0.0454687500,0.0133984375,54.7347640000
0.5453125000,0.1396484375,0.0654687500,0.0183984375,34.5284200000
0.4453125000,0.1271484375,0.0354687500,0.0158984375,49.2589320000
0.6453125000,0.1021484375,0.0554687500,0.0108984375,50.3206400000
0.3953125000,0.1458984375,0.0504687500,0.0171484375,48.2383160000
0.5953125000,0.1208984375,0.0304687500,0.0121484375,61.2005720000
0.4953125000,0.1083984375,0.0604687500,0.0146484375,39.1592720000
0.6953125000,0.1333984375,0.0404687500,0.0196484375,35.1742160000
0.3046875000,0.1166015625,0.0614062500,0.0194140625,37.6819720000
0.5046875000,0.1416015625,0.0414062500,0.0144140625,53.3630280000
0.4046875000,0.1291015625,0.0514062500,0.0119140625,60.6102040000
0.6046875000,0.1041015625,0.0314062500,0.0169140625,39.9666840000
0.3546875000,0.1478515625,0.0364062500,0.0106640625,96.5872880000
0.5546875000,0.1228515625,0.0564062500,0.0156640625,39.2909080000
0.4546875000,0.1103515625,0.0464062500,0.0181640625,35.4295640000
0.6546875000,0.1353515625,0.0664062500,0.0131640625,45.2210960000
0.3296875000,0.1322265625,0.0489062500,0.0162890625,52.4897320000
0.5296875000,0.1072265625,0.0689062500,0.0112890625,48.0640560000
0.4296875000,0.1197265625,0.0389062500,0.0137890625,53.2933480000
0.6296875000,0.1447265625,0.0589062500,0.0187890625,34.5316880000
0.3796875000,0.1009765625,0.0539062500,0.0125390625,48.6248600000
0.5796875000,0.1259765625,0.0339062500,0.0175390625,41.8994080000
0.4796875000,0.1384765625,0.0639062500,0.0150390625,44.0386280000
0.6796875000,0.1134765625,0.0439062500,0.0100390625,61.8575040000
0.3171875000,0.1431640625,0.0551562500,0.0178515625,52.7707640000
0.5171875000,0.1181640625,0.0351562500,0.0128515625,55.7087800000
0.4171875000,0.1056640625,0.0651562500,0.0103515625,55.7450200000
0.6171875000,0.1306640625,0.0451562500,0.0153515625,43.7582000000
0.3671875000,0.1244140625,0.0401562500,0.0116015625,69.1686800000
0.5671875000,0.1494140625,0.0601562500,0.0166015625,40.7084240000
0.4671875000,0.1369140625,0.0301562500,0.0191015625,45.2286200000
0.6671875000,0.1119140625,0.0501562500,0.0141015625,41.9176120000
0.3421875000,0.1087890625,0.0326562500,0.0159765625,49.5743840000
0.5421875000,0.1337890625,0.0526562500,0.0109765625,60.6865520000
0.4421875000,0.1462890625,0.0426562500,0.0134765625,61.3719440000
0.6421875000,0.1212890625,0.0626562500,0.0184765625,31.1266940000
0.3921875000,0.1275390625,0.0676562500,0.0147265625,45.2240000000
0.5921875000,0.1025390625,0.0476562500,0.0197265625,29.4819920000
0.4921875000,0.1150390625,0.0576562500,0.0172265625,35.0616000000
0.6921875000,0.1400390625,0.0376562500,0.0122265625,59.8155640000
0.3109375000,0.1298828125,0.0395312500,0.0136328125,69.7134960000
0.5109375000,0.1048828125,0.0595312500,0.0186328125,30.2136280000
0.4109375000,0.1173828125,0.0495312500,0.0161328125,42.0186400000
0.6109375000,0.1423828125,0.0695312500,0.0111328125,55.0290120000
0.3609375000,0.1111328125,0.0645312500,0.0173828125,36.1083720000
0.5609375000,0.1361328125,0.0445312500,0.0123828125,57.0953720000
0.4609375000,0.1486328125,0.0545312500,0.0148828125,50.5850240000
0.6609375000,0.1236328125,0.0345312500,0.0198828125,35.5213000000
0.3359375000,0.1205078125,0.0520312500,0.0105078125,71.3066720000
0.5359375000,0.1455078125,0.0320312500,0.0155078125,54.4487720000
0.4359375000,0.1330078125,0.0620312500,0.0180078125,37.5505920000
0.6359375000,0.1080078125,0.0420312500,0.0130078125,47.4220920000
0.3859375000,0.1392578125,0.0470312500,0.0192578125,42.6420520000
0.5859375000,0.1142578125,0.0670312500,0.0142578125,38.8803400000
0.4859375000,0.1017578125,0.0370312500,0.0117578125,55.5147360000
0.6859375000,0.1267578125,0.0570312500,0.0167578125,35.8383280000
0.3234375000,0.1033203125,0.0432812500,0.0139453125,50.7903200000
0.5234375000,0.1283203125,0.0632812500,0.0189453125,32.5459080000
0.4234375000,0.1408203125,0.0332812500,0.0164453125,54.3836080000
0.6234375000,0.1158203125,0.0532812500,0.0114453125,51.8514800000
0.3734375000,0.1345703125,0.0582812500,0.0151953125,49.5205120000
0.5734375000,0.1095703125,0.0382812500,0.0101953125,63.6547840000
0.4734375000,0.1220703125,0.0682812500,0.0126953125,47.2165280000
0.6734375000,0.1470703125,0.0482812500,0.0176953125,39.0643480000
0.3484375000,0.1439453125,0.0657812500,0.0120703125,67.7332560000
0.5484375000,0.1189453125,0.0457812500,0.0170703125,38.0069000000
0.4484375000,0.1064453125,0.0557812500,0.0195703125,30.4628960000
0.6484375000,0.1314453125,0.0357812500,0.0145703125,49.7428400000
0.3984375000,0.1126953125,0.0307812500,0.0183203125,42.6777360000
0.5984375000,0.1376953125,0.0507812500,0.0133203125,50.1488040000
0.4984375000,0.1251953125,0.0407812500,0.0108203125,65.6947560000
0.6984375000,0.1001953125,0.0607812500,0.0158203125,33.3326360000
